# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 30 10:00:55 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid	pl_hostname	pl_letter	pl_name	pl_discmethod	pl_orbper	st_dist	st_teff	pl_facility
717	HD 7924	c	HD 7924 c	Radial Velocity	15.29900000	16.82	5131.00	W. M. Keck Observatory
718	HD 7924	d	HD 7924 d	Radial Velocity	24.45100000	16.82	5131.00	W. M. Keck Observatory
719	HD 79498	b	HD 79498 b	Radial Velocity	1807.00000000	49.00	5748.00	McDonald Observatory
720	HD 80606	b	HD 80606 b	Radial Velocity	111.43670000	66.60	5561.00	Multiple Observatories
721	HD 81040	b	HD 81040 b	Radial Velocity	1001.70001000	34.47	5755.00	Multiple Observatories
722	HD 81688	b	HD 81688 b	Radial Velocity	184.02000000	85.92	4753.00	Okayama Astrophysical Observatory
723	HD 82886	b	HD 82886 b	Radial Velocity	705.00000000	127.52	4953.00	W. M. Keck Observatory
724	HD 82943	b	HD 82943 b	Radial Velocity	441.47000000	27.61	6016.00	La Silla Observatory
725	HD 82943	c	HD 82943 c	Radial Velocity	220.07800000	27.61	6016.00	La Silla Observatory
726	HD 83443	b	HD 83443 b	Radial Velocity	2.98570000	40.95	5442.00	Multiple Observatories
727	HD 8535	b	HD 8535 b	Radial Velocity	1313.00000000	52.50	6136.00	La Silla Observatory
728	HD 85390	b	HD 85390 b	Radial Velocity	788.00000000	33.56	5164.00	La Silla Observatory
729	HD 85512	b	HD 85512 b	Radial Velocity	58.43000000	11.28	4300.00	La Silla Observatory
730	HD 8574	b	HD 8574 b	Radial Velocity	227.00000000	44.20	6064.00	Haute-Provence Observatory
731	HD 86081	b	HD 86081 b	Radial Velocity	2.13784310	104.24	5939.00	W. M. Keck Observatory
732	HD 86226	b	HD 86226 b	Radial Velocity	1695.00000000	45.74	5903.00	Las Campanas Observatory
733	HD 86264	b	HD 86264 b	Radial Velocity	1475.00000000	67.94	6210.00	Lick Observatory
734	HD 8673	b	HD 8673 b	Radial Velocity	1634.00000000	37.90	6472.00	Thueringer Landessternwarte Tautenburg
735	HD 86950	b	HD 86950 b	Radial Velocity	1270.00000000	169.00	4805.00	Multiple Observatories
736	HD 87646	b	HD 87646 b	Radial Velocity	13.48100000	135.17	5770.00	Apache Point Observatory
737	HD 87883	b	HD 87883 b	Radial Velocity	2754.00000000	18.30	4915.00	Lick Observatory
738	HD 88133	b	HD 88133 b	Radial Velocity	3.41488700	73.77	5392.00	W. M. Keck Observatory
739	HD 89307	b	HD 89307 b	Radial Velocity	2166.00000000	32.04	5955.00	Lick Observatory
740	HD 89345	b	HD 89345 b	Transit	11.81430000	132.80	5576.00	K2
741	HD 89744	b	HD 89744 b	Radial Velocity	256.78000000	39.00	6291.00	Fred Lawrence Whipple Observatory
742	HD 90156	b	HD 90156 b	Radial Velocity	49.77000000	21.96	5599.00	La Silla Observatory
743	HD 9174	b	HD 9174 b	Radial Velocity	1179.00000000	78.93	5577.00	Multiple Observatories
744	HD 92788	b	HD 92788 b	Radial Velocity	325.81000000	34.69	5738.00	Multiple Observatories
745	HD 93083	b	HD 93083 b	Radial Velocity	143.58000000	28.54	4995.00	La Silla Observatory
746	HD 9446	b	HD 9446 b	Radial Velocity	30.05200000	50.42	5793.00	Haute-Provence Observatory
747	HD 9446	c	HD 9446 c	Radial Velocity	192.90000000	50.42	5793.00	Haute-Provence Observatory
748	HD 95086	b	HD 95086 b	Imaging		86.44		Paranal Observatory
749	HD 95089	b	HD 95089 b	Radial Velocity	507.00000000	137.46	5002.00	W. M. Keck Observatory
750	HD 95089	c	HD 95089 c	Radial Velocity	1860.00000000	137.46	5002.00	W. M. Keck Observatory
751	HD 95127	b	HD 95127 b	Radial Velocity	482.00000000	332.00	4218.00	McDonald Observatory
752	HD 95872	b	HD 95872 b	Radial Velocity	4375.00000000	7.56	5312.00	Multiple Facilities
753	HD 96063	b	HD 96063 b	Radial Velocity	361.10000000	140.62	5148.00	W. M. Keck Observatory
754	HD 96127	b	HD 96127 b	Radial Velocity	647.29999000	597.42	3943.00	McDonald Observatory
755	HD 96167	b	HD 96167 b	Radial Velocity	498.10000000	85.51	5733.00	W. M. Keck Observatory
756	HD 97658	b	HD 97658 b	Radial Velocity	9.49090000	21.58	5175.00	W. M. Keck Observatory
757	HD 98219	b	HD 98219 b	Radial Velocity	436.89999000	114.07	4946.00	W. M. Keck Observatory
758	HD 98649	b	HD 98649 b	Radial Velocity	4951.00000000	42.22	5759.00	La Silla Observatory
759	HD 98736	b	HD 98736 b	Radial Velocity	968.80000000	32.48	5271.00	W. M. Keck Observatory
760	HD 99109	b	HD 99109 b	Radial Velocity	439.29999000	54.88	5282.00	W. M. Keck Observatory
761	HD 99492	b	HD 99492 b	Radial Velocity	17.04310000	55.70	4815.00	W. M. Keck Observatory
762	HD 99706	b	HD 99706 b	Radial Velocity	868.00000000	147.21	4891.00	W. M. Keck Observatory
763	HD 99706	c	HD 99706 c	Radial Velocity	1278.00000000	147.21	4891.00	W. M. Keck Observatory
764	HIP 105854	b	HIP 105854 b	Radial Velocity	184.20000000	78.80	4780.00	Multiple Observatories
765	HIP 107773	b	HIP 107773 b	Radial Velocity	144.30000000	103.63	4945.00	Multiple Observatories
766	HIP 109384	b	HIP 109384 b	Radial Velocity	499.48000000	56.20	5180.00	Haute-Provence Observatory
767	HIP 109600	b	HIP 109600 b	Radial Velocity	232.08000000	58.60	5530.00	Haute-Provence Observatory
768	HIP 116454	b	HIP 116454 b	Transit	9.12050000	55.20	5089.00	K2
769	HIP 12961	b	HIP 12961 b	Radial Velocity	57.43500000	23.39	3901.00	La Silla Observatory
770	HIP 14810	b	HIP 14810 b	Radial Velocity	6.67389200	50.55	5544.00	W. M. Keck Observatory
771	HIP 14810	c	HIP 14810 c	Radial Velocity	147.74700000	50.55	5544.00	W. M. Keck Observatory
772	HIP 14810	d	HIP 14810 d	Radial Velocity	981.80000000	50.55	5544.00	W. M. Keck Observatory
773	HIP 41378	b	HIP 41378 b	Transit	15.57120000	106.61	6199.00	K2
774	HIP 41378	c	HIP 41378 c	Transit	31.69780000	106.61	6199.00	K2
775	HIP 41378	d	HIP 41378 d	Transit	156.00000000	106.61	6199.00	K2
776	HIP 41378	e	HIP 41378 e	Transit	131.00000000	106.61	6199.00	K2
777	HIP 41378	f	HIP 41378 f	Transit	324.00000000	106.61	6199.00	K2
778	HIP 5158	b	HIP 5158 b	Radial Velocity	345.72000000	51.68	4813.00	La Silla Observatory
779	HIP 5158	c	HIP 5158 c	Radial Velocity	9017.76000000	51.68	4813.00	La Silla Observatory
780	HIP 57274	b	HIP 57274 b	Radial Velocity	8.13520000	25.88	4510.00	W. M. Keck Observatory
781	HIP 57274	c	HIP 57274 c	Radial Velocity	32.03000000	25.88	4510.00	W. M. Keck Observatory
782	HIP 57274	d	HIP 57274 d	Radial Velocity	431.70000000	25.88	4510.00	W. M. Keck Observatory
783	HIP 63242	b	HIP 63242 b	Radial Velocity	124.60000000	157.16	4830.00	Multiple Observatories
784	HIP 65407	b	HIP 65407 b	Radial Velocity	28.12500000	55.50	5460.00	Haute-Provence Observatory
785	HIP 65407	c	HIP 65407 c	Radial Velocity	67.30000000	55.50	5460.00	Haute-Provence Observatory
786	HIP 65426	b	HIP 65426 b	Imaging		111.40	8840.00	Paranal Observatory
787	HIP 65891	b	HIP 65891 b	Radial Velocity	1084.50000000	136.05	5000.00	Multiple Observatories
788	HIP 67537	b	HIP 67537 b	Radial Velocity	2556.50000000	112.60	4985.00	Multiple Observatories
789	HIP 67851	b	HIP 67851 b	Radial Velocity	88.90000000	65.96	4890.00	Multiple Observatories
790	HIP 67851	c	HIP 67851 c	Radial Velocity	2131.80000000	65.96	4890.00	Multiple Observatories
791	HIP 70849	b	HIP 70849 b	Radial Velocity	17337.50000000	24.07	4105.00	La Silla Observatory
792	HIP 74890	b	HIP 74890 b	Radial Velocity	822.30000000	91.49	4850.00	Multiple Observatories
793	HIP 75458	b	HIP 75458 b	Radial Velocity	511.09800000	31.67	4530.00	Lick Observatory
794	HIP 78530	b	HIP 78530 b	Imaging		156.70	10500.00	Gemini Observatory
795	HIP 79431	b	HIP 79431 b	Radial Velocity	111.70000000	14.54	3368.00	W. M. Keck Observatory
796	HIP 8541	b	HIP 8541 b	Radial Velocity	1560.20000000	168.63	4670.00	Multiple Observatories
797	HIP 91258	b	HIP 91258 b	Radial Velocity	5.05050000	45.95	5519.00	Haute-Provence Observatory
798	HIP 97233	b	HIP 97233 b	Radial Velocity	1058.80000000	106.50	5020.00	Multiple Observatories
799	HN Peg	b	HN Peg b	Imaging		18.13	5974.00	Spitzer Space Telescope
800	HR 2562	b	HR 2562 b	Imaging		33.63		Gemini Observatory
801	HR 810	b	HR 810 b	Radial Velocity	302.79999000	17.33	6167.00	La Silla Observatory
802	HR 8799	b	HR 8799 b	Imaging	170000.00000000	39.40		Gemini Observatory
803	HR 8799	c	HR 8799 c	Imaging	69000.00000000	39.40		Gemini Observatory
804	HR 8799	d	HR 8799 d	Imaging	37000.00000000	39.40		W. M. Keck Observatory
805	HR 8799	e	HR 8799 e	Imaging	18000.00000000	39.40		W. M. Keck Observatory
806	IC 4651 9122	b	IC 4651 9122 b	Radial Velocity	734.00000000	879.38		La Silla Observatory
807	K2-10	b	K2-10 b	Transit	19.30440000	274.48	5620.00	K2
808	K2-100	b	K2-100 b	Transit	1.67383300	190.04	6168.00	K2
809	K2-101	b	K2-101 b	Transit	14.67728600	189.33	4819.00	K2
810	K2-102	b	K2-102 b	Transit	9.91561500	189.17	4695.00	K2
811	K2-104	b	K2-104 b	Transit	1.97423800	190.21	3546.46	K2
812	K2-105	b	K2-105 b	Transit	8.26770400	199.28	5464.00	K2
813	K2-107	b	K2-107 b	Transit	3.31395900	696.95	6061.00	K2
814	K2-108	b	K2-108 b	Transit	4.73399900	484.99	5599.00	K2
815	K2-11	b	K2-11 b	Transit	39.93767000	332.46	5433.00	K2
816	K2-110	b	K2-110 b	Transit	13.86387000	116.84	4950.00	K2
817	K2-111	b	K2-111 b	Transit	5.35117000	201.51	5730.00	K2
818	K2-113	b	K2-113 b	Transit	5.81768500	649.75	5660.00	K2
819	K2-114	b	K2-114 b	Transit	11.39101300	484.80	5044.00	K2
820	K2-115	b	K2-115 b	Transit	20.27261500	418.58	5657.00	K2
821	K2-116	b	K2-116 b	Transit	4.65541100	49.46	4348.35	K2
822	K2-117	b	K2-117 b	Transit	1.29160000	101.95	3778.00	K2
823	K2-117	c	K2-117 c	Transit	5.44401700	101.95	3778.00	K2
824	K2-118	b	K2-118 b	Transit	50.92092000	324.70	4726.29	K2
825	K2-119	b	K2-119 b	Transit	7.72728300	369.66	4740.00	K2
826	K2-12	b	K2-12 b	Transit	8.28212000	329.36	5800.00	K2
827	K2-120	b	K2-120 b	Transit	9.56274200		4349.90	K2
828	K2-121	b	K2-121 b	Transit	5.18576100	170.37	4551.00	K2
829	K2-122	b	K2-122 b	Transit	2.21928200	72.19	4027.00	K2
830	K2-123	b	K2-123 b	Transit	30.95152400	162.36	4035.00	K2
831	K2-124	b	K2-124 b	Transit	6.41376600	140.67	3560.00	K2
832	K2-125	b	K2-125 b	Transit	21.75026400	124.60	3654.47	K2
833	K2-126	b	K2-126 b	Transit	7.38565500	103.29	4339.00	K2
834	K2-127	b	K2-127 b	Transit	3.58816300	723.97	4575.00	K2
835	K2-128	b	K2-128 b	Transit	5.67581900	115.01	4469.51	K2
836	K2-129	b	K2-129 b	Transit	8.23949300	27.82	3459.09	K2
837	K2-13	b	K2-13 b	Transit	39.91488000	345.76	5698.00	K2
838	K2-130	b	K2-130 b	Transit	2.49412000	118.41	4356.47	K2
839	K2-131	b	K2-131 b	Transit	0.36931000	153.70	5245.00	K2
840	K2-132	b	K2-132 b	Transit	9.17510000	620.41	4840.00	K2
841	K2-133	b	K2-133 b	Transit	3.07120000	75.33	3655.00	K2
842	K2-133	c	K2-133 c	Transit	4.86820000	75.33	3655.00	K2
843	K2-133	d	K2-133 d	Transit	11.02340000	75.33	3655.00	K2
844	K2-136	b	K2-136 b	Transit	7.97529200	59.35	4499.00	K2
845	K2-136	c	K2-136 c	Transit	17.30713700	59.35	4499.00	K2
846	K2-136	d	K2-136 d	Transit	25.57506500	59.35	4499.00	K2
847	K2-137	b	K2-137 b	Transit	0.17971500	99.15	3492.00	K2
848	K2-138	b	K2-138 b	Transit	2.35322000	183.00	5378.00	K2
849	K2-138	c	K2-138 c	Transit	3.55987000	183.00	5378.00	K2
850	K2-138	d	K2-138 d	Transit	5.40478000	183.00	5378.00	K2
851	K2-138	e	K2-138 e	Transit	8.26144000	183.00	5378.00	K2
852	K2-138	f	K2-138 f	Transit	12.75759000	183.00	5378.00	K2
853	K2-139	b	K2-139 b	Transit	28.38061900	154.60	5370.00	K2
854	K2-14	b	K2-14 b	Transit	8.36802000	367.72	3789.00	K2
855	K2-140	b	K2-140 b	Transit	6.56918000	341.60	5705.00	K2
856	K2-141	b	K2-141 b	Transit	0.28032440	61.98	4599.00	K2
857	K2-141	c	K2-141 c	Transit	7.74850000	61.98	4599.00	K2
858	K2-146	b	K2-146 b	Transit	2.64466100	79.50	3398.00	K2
859	K2-147	b	K2-147 b	Transit	0.96191700	88.00	3672.00	K2
860	K2-148	b	K2-148 b	Transit	4.38395000	121.00	4079.00	K2
861	K2-148	c	K2-148 c	Transit	6.92260000	121.00	4079.00	K2
862	K2-148	d	K2-148 d	Transit	9.75790000	121.00	4079.00	K2
863	K2-149	b	K2-149 b	Transit	11.33200000	118.00	3745.00	K2
864	K2-15	b	K2-15 b	Transit	11.81040000	501.03	5131.00	K2
865	K2-150	b	K2-150 b	Transit	10.59357000	110.00	3499.00	K2
866	K2-151	b	K2-151 b	Transit	3.83547600	69.61	3695.00	K2
867	K2-152	b	K2-152 b	Transit	32.64790000	108.70	4044.00	K2
868	K2-153	b	K2-153 b	Transit	7.51574000	143.60	3845.00	K2
869	K2-154	b	K2-154 b	Transit	3.67626000	129.80	4097.00	K2
870	K2-154	c	K2-154 c	Transit	7.95486000	129.80	4097.00	K2
871	K2-155	b	K2-155 b	Transit	6.34200000	82.00	4258.00	K2
872	K2-155	c	K2-155 c	Transit	13.85000000	82.00	4258.00	K2
873	K2-155	d	K2-155 d	Transit	40.71800000	82.00	4258.00	K2
874	K2-156	b	K2-156 b	Transit	0.81314000	150.40	4597.00	K2
875	K2-157	b	K2-157 b	Transit	0.36525700	300.88	5456.00	K2
876	K2-158	b	K2-158 b	Transit	10.06049000	198.20	5503.00	K2
877	K2-158	c	K2-158 c	Transit	5.90279000	198.20	5503.00	K2
878	K2-159	b	K2-159 b	Transit	12.42205000	171.90	5425.00	K2
879	K2-16	b	K2-16 b	Transit	7.61880000	338.19	4742.00	K2
880	K2-16	c	K2-16 c	Transit	19.07863000	338.19	4742.00	K2
881	K2-160	b	K2-160 b	Transit	3.70587100	318.19	5649.00	K2
882	K2-161	b	K2-161 b	Transit	9.28318800	941.09	4972.00	K2
883	K2-162	b	K2-162 b	Transit	9.45889000	125.10	4842.00	K2
884	K2-163	b	K2-163 b	Transit	6.67311700	209.67	4937.00	K2
885	K2-164	b	K2-164 b	Transit	17.35506600	379.64	5791.00	K2
886	K2-165	b	K2-165 b	Transit	2.35499200	135.10	5185.00	K2
887	K2-165	c	K2-165 c	Transit	4.38274500	135.10	5185.00	K2
888	K2-165	d	K2-165 d	Transit	14.10136100	135.10	5185.00	K2
889	K2-166	b	K2-166 b	Transit	8.52695000	481.00	5960.00	K2
890	K2-167	b	K2-167 b	Transit	9.97748100	81.08	5908.00	K2
891	K2-168	b	K2-168 b	Transit	15.85398900	245.56	5554.00	K2
892	K2-169	b	K2-169 b	Transit	6.38080300	237.35	5548.00	K2
893	K2-17	b	K2-17 b	Transit	17.96753000	125.56	4320.00	K2
894	K2-170	b	K2-170 b	Transit	7.57654400	397.26	5748.00	K2
895	K2-170	c	K2-170 c	Transit	12.40004700	397.26	5748.00	K2
896	K2-171	b	K2-171 b	Transit	5.62846600	616.41	5250.00	K2
897	K2-172	b	K2-172 b	Transit	14.31694100	251.51	5569.00	K2
898	K2-172	c	K2-172 c	Transit	29.62682000	251.51	5569.00	K2
899	K2-173	b	K2-173 b	Transit	5.86869900	230.14	5580.00	K2
900	K2-174	b	K2-174 b	Transit	19.56274300	100.22	4500.00	K2
901	K2-175	b	K2-175 b	Transit	9.52598800	249.01	5909.00	K2
902	K2-176	b	K2-176 b	Transit	5.32943900	249.01	5428.00	K2
903	K2-177	b	K2-177 b	Transit	14.15518500	499.02	6063.00	K2
904	K2-178	b	K2-178 b	Transit	8.74781800	216.08	5525.00	K2
905	K2-179	b	K2-179 b	Transit	5.17219100	191.84	5015.00	K2
906	K2-18	b	K2-18 b	Transit	32.93963000	34.00	3457.00	K2
907	K2-18	c	K2-18 c	Radial Velocity	8.96200000	34.00	3457.00	La Silla Observatory
908	K2-180	b	K2-180 b	Transit	8.86720900	204.51	5358.00	K2
909	K2-181	b	K2-181 b	Transit	6.89425600	364.82	5608.00	K2
910	K2-182	b	K2-182 b	Transit	4.73683700	155.90	5165.00	K2
911	K2-183	b	K2-183 b	Transit	0.46926900	331.77	5519.00	K2
912	K2-183	c	K2-183 c	Transit	10.79263500	331.77	5519.00	K2
913	K2-183	d	K2-183 d	Transit	22.63196400	331.77	5519.00	K2
914	K2-184	b	K2-184 b	Transit	16.99573100	75.79	5220.00	K2
915	K2-185	b	K2-185 b	Transit	10.61664600	270.41	5722.00	K2
916	K2-186	b	K2-186 b	Transit	41.47421900	333.84	5784.00	K2
917	K2-187	b	K2-187 b	Transit	0.77392000	333.51	5484.00	K2
918	K2-187	c	K2-187 c	Transit	2.87204200	333.51	5484.00	K2
919	K2-187	d	K2-187 d	Transit	7.14921000	333.51	5484.00	K2
920	K2-187	e	K2-187 e	Transit	13.60987800	333.51	5484.00	K2
921	K2-188	b	K2-188 b	Transit	1.74216900	452.90	5977.00	K2
922	K2-188	c	K2-188 c	Transit	7.81025300	452.90	5977.00	K2
923	K2-189	b	K2-189 b	Transit	2.58830900	243.93	5519.00	K2
924	K2-189	c	K2-189 c	Transit	6.67919500	243.93	5519.00	K2
925	K2-19	b	K2-19 b	Transit	7.91940000	292.14	5430.00	K2
926	K2-19	c	K2-19 c	Transit	11.90715000	292.14	5430.00	K2
927	K2-19	d	K2-19 d	Transit	2.50856000	292.14	5430.00	K2
928	K2-190	b	K2-190 b	Transit	10.09885800	161.42	5631.00	K2
929	K2-190	c	K2-190 c	Transit	21.57402300	161.42	5631.00	K2
930	K2-191	b	K2-191 b	Transit	2.85864600	289.57	5176.00	K2
931	K2-192	b	K2-192 b	Transit	4.16281700	223.99	5222.00	K2
932	K2-193	b	K2-193 b	Transit	14.78688900	416.91	5817.00	K2
933	K2-194	b	K2-194 b	Transit	39.72138600	640.65	5979.00	K2
934	K2-195	b	K2-195 b	Transit	15.85297500	317.83	5713.00	K2
935	K2-195	c	K2-195 c	Transit	28.48278600	317.83	5713.00	K2
936	K2-196	b	K2-196 b	Transit	48.32422200	594.09	6045.00	K2
937	K2-197	b	K2-197 b	Transit	8.35788100	249.59	5667.00	K2
938	K2-198	b	K2-198 b	Transit	17.04317900	110.91	5262.00	K2
939	K2-199	b	K2-199 b	Transit	3.22533800	107.97	4648.00	K2
940	K2-199	c	K2-199 c	Transit	7.37469400	107.97	4648.00	K2
941	K2-200	b	K2-200 b	Transit	2.84988300	185.09	5233.00	K2
942	K2-201	b	K2-201 b	Transit	1.05979000	199.05	5507.00	K2
943	K2-201	c	K2-201 c	Transit	22.77987800	199.05	5507.00	K2
944	K2-202	b	K2-202 b	Transit	3.40516400	302.99	5491.00	K2
945	K2-203	b	K2-203 b	Transit	9.69510100	166.93	5000.00	K2
946	K2-204	b	K2-204 b	Transit	7.05578400	586.87	5755.00	K2
947	K2-205	b	K2-205 b	Transit	26.67226300	409.95	5890.00	K2
948	K2-206	b	K2-206 b	Transit	18.29454900	246.14	5043.00	K2
949	K2-207	b	K2-207 b	Transit	12.48749000	366.84	5522.00	K2
950	K2-208	b	K2-208 b	Transit	4.19094800	258.76	5582.00	K2
951	K2-209	b	K2-209 b	Transit	2.08061500	76.67	4720.00	K2
952	K2-21	b	K2-21 b	Transit	9.32503800	83.85	4222.06	K2
953	K2-21	c	K2-21 c	Transit	15.50192000	83.85	4222.06	K2
954	K2-210	b	K2-210 b	Transit	0.57023300	177.39	5396.00	K2
955	K2-211	b	K2-211 b	Transit	0.66955800	274.39	5221.00	K2
956	K2-212	b	K2-212 b	Transit	9.79551000	109.32	4272.00	K2
957	K2-213	b	K2-213 b	Transit	8.13087000	394.05	5794.00	K2
958	K2-214	b	K2-214 b	Transit	8.59680200	303.28	5854.00	K2
959	K2-215	b	K2-215 b	Transit	8.26964800	408.67	5704.00	K2
960	K2-216	b	K2-216 b	Transit	2.17480000	115.94	4503.00	K2
961	K2-217	b	K2-217 b	Transit	14.07452400	386.01	5967.00	K2
962	K2-218	b	K2-218 b	Transit	8.67988500	398.41	5757.00	K2
963	K2-219	b	K2-219 b	Transit	3.90128700	328.42	5753.00	K2
964	K2-219	c	K2-219 c	Transit	6.66767000	328.42	5753.00	K2
965	K2-219	d	K2-219 d	Transit	11.13727800	328.42	5753.00	K2
966	K2-22	b	K2-22 b	Transit	0.38107800	245.53	3830.00	K2
967	K2-220	b	K2-220 b	Transit	13.68325600	234.92	5660.00	K2
968	K2-221	b	K2-221 b	Transit	2.39909400	321.63	5716.00	K2
969	K2-222	b	K2-222 b	Transit	15.38706300	101.59	6058.00	K2
970	K2-223	b	K2-223 b	Transit	0.50565000	201.10	5835.00	K2
971	K2-223	c	K2-223 c	Transit	4.56327000	201.10	5835.00	K2
972	K2-224	b	K2-224 b	Transit	4.47904000	277.70	5620.00	K2
973	K2-224	c	K2-224 c	Transit	10.09489000	277.70	5620.00	K2
974	K2-225	b	K2-225 b	Transit	15.87209000	360.30	5742.00	K2
975	K2-226	b	K2-226 b	Transit	3.27108000	211.20	5424.00	K2
976	K2-227	b	K2-227 b	Transit	13.62183200	188.22	5673.00	K2
977	K2-228	b	K2-228 b	Transit	2.69828000	142.40	4715.00	K2
978	K2-229	b	K2-229 b	Transit	0.58426000	103.80	5315.00	K2
979	K2-229	c	K2-229 c	Transit	8.32727000	103.80	5315.00	K2
980	K2-230	b	K2-230 b	Transit	2.86041000	548.90	5945.00	K2
981	K2-231	b	K2-231 b	Transit	13.84190100	295.00	5695.00	K2
982	K2-232	b	K2-232 b	Transit	11.16845400	131.21	6154.00	K2
983	K2-233	b	K2-233 b	Transit	2.46746000	67.64	4950.00	K2
984	K2-233	c	K2-233 c	Transit	7.06142000	67.64	4950.00	K2
985	K2-233	d	K2-233 d	Transit	24.36620000	67.64	4950.00	K2
986	K2-237	b	K2-237 b	Transit	2.18056000	458.00	6257.00	Paranal Observatory
987	K2-238	b	K2-238 b	Transit	3.20466000	453.00	5630.00	Paranal Observatory
988	K2-239	b	K2-239 b	Transit	5.24000000	49.00	3420.00	K2
989	K2-239	c	K2-239 c	Transit	7.77500000	49.00	3420.00	K2
990	K2-239	d	K2-239 d	Transit	10.11500000	49.00	3420.00	K2
991	K2-24	b	K2-24 b	Transit	20.88508000	171.39	5743.00	K2
992	K2-24	c	K2-24 c	Transit	42.36342000	171.39	5743.00	K2
993	K2-240	b	K2-240 b	Transit	6.03400000	70.00	3810.00	K2
994	K2-240	c	K2-240 c	Transit	20.52300000	70.00	3810.00	K2
995	K2-241	b	K2-241 b	Transit	26.81990000	149.60	5262.00	K2
996	K2-242	b	K2-242 b	Transit	6.51389000	109.60	3459.00	K2
997	K2-243	b	K2-243 b	Transit	11.54182000	269.20	6570.00	K2
998	K2-243	c	K2-243 c	Transit	24.94598000	269.20	6570.00	K2
999	K2-244	b	K2-244 b	Transit	21.06884000	214.00	5677.00	K2
1000	K2-245	b	K2-245 b	Transit	11.89307000	463.40	5793.00	K2
1001	K2-246	b	K2-246 b	Transit	5.76918000	723.10	5610.00	K2
1002	K2-247	b	K2-247 b	Transit	2.25021000	260.20	4667.00	K2
1003	K2-247	c	K2-247 c	Transit	6.49424000	260.20	4667.00	K2
1004	K2-248	b	K2-248 b	Transit	7.17256000	410.50	5528.00	K2
1005	K2-249	b	K2-249 b	Transit	12.40900000	528.30	6504.00	K2
1006	K2-25	b	K2-25 b	Transit	3.48455200	45.01	3180.00	K2
1007	K2-250	b	K2-250 b	Transit	4.01457000	417.60	5172.00	K2
1008	K2-251	b	K2-251 b	Transit	9.30075000	147.70	3717.00	K2
1009	K2-252	b	K2-252 b	Transit	13.81513000	229.90	5152.00	K2
1010	K2-253	b	K2-253 b	Transit	4.00167000	901.80	6027.00	K2
1011	K2-254	b	K2-254 b	Transit	4.09639000	229.40	4629.00	K2
1012	K2-254	c	K2-254 c	Transit	12.11839000	229.40	4629.00	K2
1013	K2-255	b	K2-255 b	Transit	1.96417000	192.40	4676.00	K2
1014	K2-256	b	K2-256 b	Transit	5.52011000	580.50	5219.00	K2
1015	K2-257	b	K2-257 b	Transit	1.60588000	64.10	3725.00	K2
1016	K2-258	b	K2-258 b	Transit	19.09210000	675.20	6351.00	K2
1017	K2-259	b	K2-259 b	Transit	15.48043000	422.10	6059.00	K2
1018	K2-26	b	K2-26 b	Transit	14.56650000	99.33	3785.00	K2
1019	K2-260	b	K2-260 b	Transit	2.62666570	676.32	6367.00	K2
1020	K2-261	b	K2-261 b	Transit	11.63344000	214.58	5537.00	K2
1021	K2-263	b	K2-263 b	Transit	50.81894700	163.23	5368.00	K2
1022	K2-264	b	K2-264 b	Transit	5.83977000	186.57	3580.00	K2
1023	K2-264	c	K2-264 c	Transit	19.66365000	186.57	3580.00	K2
1024	K2-265	b	K2-265 b	Transit	2.36917200	139.22	5477.00	K2
1025	K2-266	b	K2-266 b	Transit	0.65852400	77.16	4285.00	K2
1026	K2-266	c	K2-266 c	Transit	7.81400000	77.16	4285.00	K2
1027	K2-266	d	K2-266 d	Transit	14.69700000	77.16	4285.00	K2
1028	K2-266	e	K2-266 e	Transit	19.48200000	77.16	4285.00	K2
1029	K2-268	b	K2-268 b	Transit	2.15189400	331.46	5068.00	K2
1030	K2-268	c	K2-268 c	Transit	9.32684100	331.46	5068.00	K2
1031	K2-269	b	K2-269 b	Transit	4.14496500	362.07	6209.00	K2
1032	K2-27	b	K2-27 b	Transit	6.77131500	251.43	5248.00	K2
1033	K2-270	b	K2-270 b	Transit	1.54306900	283.53	4877.00	K2
1034	K2-270	c	K2-270 c	Transit	4.40002800	283.53	4877.00	K2
1035	K2-271	b	K2-271 b	Transit	8.56242100	571.47	5644.00	K2
1036	K2-272	b	K2-272 b	Transit	14.45353300	426.57	5419.00	K2
1037	K2-273	b	K2-273 b	Transit	11.71633200	310.60	5200.00	K2
1038	K2-274	b	K2-274 b	Transit	14.12971400	232.82	5065.00	K2
1039	K2-275	b	K2-275 b	Transit	3.28096100	124.09	4812.00	K2
1040	K2-275	c	K2-275 c	Transit	8.43875600	124.09	4812.00	K2
1041	K2-276	b	K2-276 b	Transit	18.71826900	489.88	5139.00	K2
1042	K2-277	b	K2-277 b	Transit	6.32676300	113.53	5741.00	K2
1043	K2-278	b	K2-278 b	Transit	3.33496600	804.13	6747.00	K2
1044	K2-279	b	K2-279 b	Transit	7.12260500	183.80	5558.00	K2
1045	K2-28	b	K2-28 b	Transit	2.26045500	63.11	3214.00	K2
